addPacient   2021-05-22 09:55:49.018
addPacient   2021-05-22 09:55:49.089
addPacient   2021-05-22 09:55:49.089
addPacient   2021-05-22 09:55:49.09
addDoctor   2021-05-22 16:01:51.47
addDoctor   2021-05-22 16:01:51.59
addAngajat   2021-05-22 16:01:51.59
addDoctor   2021-05-22 16:01:51.7
addDoctor   2021-05-22 16:01:51.7
addDoctor   2021-05-22 16:01:51.7
addSectie   2021-05-22 16:01:51.7
addLaborator   2021-05-22 16:01:51.7
addProgramare   2021-05-22 16:01:51.7
getSortedDoctors   2021-05-22 16:01:51.877
addDoctor   2021-05-22 16:03:40.68
addDoctor   2021-05-22 16:03:40.685
addAngajat   2021-05-22 16:03:40.685
addDoctor   2021-05-22 16:03:40.685
addDoctor   2021-05-22 16:03:40.69
addDoctor   2021-05-22 16:03:40.69
addSectie   2021-05-22 16:03:40.69
addLaborator   2021-05-22 16:03:40.69
addProgramare   2021-05-22 16:03:40.69
getSortedDoctors   2021-05-22 16:03:40.69
